"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2023","1,471.43","1,482.12","1,484.51","1,471.43","12.39M","-0.72%"
"09/28/2023","1,482.14","1,497.65","1,505.37","1,482.01","12.59M","-1.00%"
"09/27/2023","1,497.15","1,494.14","1,499.06","1,488.14","10.38B","0.21%"
"09/26/2023","1,494.02","1,504.69","1,514.89","1,494.02","12.18M","-0.88%"
"09/25/2023","1,507.36","1,524.39","1,524.97","1,507.36","9.01B","-1.00%"
"09/22/2023","1,522.59","1,514.07","1,526.50","1,510.38","11.68M","0.55%"
"09/21/2023","1,514.26","1,504.55","1,517.37","1,503.23","10.24B","0.42%"
"09/20/2023","1,507.90","1,521.66","1,521.66","1,503.33","12.05B","-0.99%"
"09/19/2023","1,522.96","1,527.68","1,531.43","1,521.50","9.59M","-0.30%"
"09/18/2023","1,527.57","1,539.40","1,539.40","1,525.58","9.92M","-0.94%"
"09/15/2023","1,542.03","1,550.04","1,550.83","1,541.61","10.36M","-0.20%"
"09/14/2023","1,545.14","1,538.03","1,547.36","1,532.56","10.78M","0.64%"
"09/13/2023","1,535.31","1,546.47","1,546.47","1,533.20","9.68M","-0.66%"
"09/12/2023","1,545.50","1,544.08","1,550.67","1,543.21","10.83B","0.30%"
"09/11/2023","1,540.94","1,548.93","1,550.46","1,535.82","12.16B","-0.40%"
"09/08/2023","1,547.17","1,551.20","1,554.27","1,546.99","8.82M","-0.21%"
"09/07/2023","1,550.36","1,548.86","1,556.94","1,546.43","11.27B","0.10%"
"09/06/2023","1,548.78","1,547.75","1,554.19","1,543.03","13.88M","0.06%"
"09/05/2023","1,547.86","1,548.87","1,553.60","1,545.56","12.57M","-0.05%"
"09/04/2023","1,548.68","1,564.90","1,565.54","1,547.11","12.92M","-0.82%"
"09/01/2023","1,561.51","1,569.20","1,571.80","1,559.37","11.65M","-0.28%"
"08/31/2023","1,565.94","1,575.30","1,575.59","1,563.41","17.53M","-0.68%"
"08/30/2023","1,576.67","1,574.30","1,579.12","1,572.92","13.48M","0.50%"
"08/29/2023","1,568.81","1,566.00","1,573.05","1,563.15","12.70M","0.37%"
"08/28/2023","1,562.97","1,566.00","1,568.68","1,560.41","13.92B","0.18%"
"08/25/2023","1,560.20","1,554.74","1,561.11","1,551.38","14.03M","0.18%"
"08/24/2023","1,557.41","1,552.97","1,563.35","1,552.97","15.43M","0.54%"
"08/23/2023","1,549.01","1,550.20","1,554.02","1,543.64","16.10M","0.22%"
"08/22/2023","1,545.60","1,535.54","1,547.92","1,532.52","16.41M","1.29%"
"08/21/2023","1,525.85","1,522.44","1,529.04","1,515.25","12.17M","0.44%"
"08/18/2023","1,519.12","1,525.75","1,527.24","1,516.44","13.95M","-0.63%"
"08/17/2023","1,528.81","1,515.10","1,531.08","1,512.08","14.11B","0.61%"
"08/16/2023","1,519.56","1,514.84","1,520.94","1,506.85","14.19M","-0.08%"
"08/15/2023","1,520.73","1,534.05","1,535.88","1,518.25","11.85M","-0.94%"
"08/11/2023","1,535.16","1,535.47","1,540.19","1,528.85","13.14B","0.11%"
"08/10/2023","1,533.41","1,527.93","1,533.41","1,518.86","12.42M","0.33%"
"08/09/2023","1,528.30","1,520.90","1,528.30","1,515.23","13.21M","0.65%"
"08/08/2023","1,518.44","1,534.61","1,536.03","1,518.44","11.66M","-0.92%"
"08/07/2023","1,532.51","1,533.18","1,540.22","1,519.37","11.65B","0.13%"
"08/04/2023","1,530.46","1,531.03","1,538.73","1,530.39","12.74M","0.09%"
"08/03/2023","1,529.01","1,543.78","1,546.11","1,528.63","14.09B","-1.37%"
"08/02/2023","1,550.28","1,550.06","1,562.07","1,546.23","16.30B","-0.37%"
"07/31/2023","1,556.06","1,548.75","1,559.07","1,547.62","14.52B","0.83%"
"07/27/2023","1,543.27","1,527.12","1,546.27","1,520.89","15.11B","1.23%"
"07/26/2023","1,524.59","1,527.41","1,530.18","1,519.44","9.82B","-0.11%"
"07/25/2023","1,526.30","1,529.17","1,533.74","1,519.28","11.89B","0.16%"
"07/24/2023","1,523.81","1,529.41","1,537.15","1,520.77","14.49B","-0.36%"
"07/21/2023","1,529.25","1,524.04","1,532.47","1,516.75","12.87B","0.53%"
"07/20/2023","1,521.18","1,536.08","1,541.49","1,521.18","12.02B","-1.01%"
"07/19/2023","1,536.64","1,537.68","1,545.70","1,529.25","12.45B","0.09%"
"07/18/2023","1,535.30","1,527.13","1,535.62","1,526.91","11.23B","0.43%"
"07/17/2023","1,528.77","1,521.39","1,532.12","1,515.45","11.31B","0.71%"
"07/14/2023","1,517.92","1,497.85","1,519.08","1,497.85","12.23B","1.60%"
"07/13/2023","1,494.02","1,491.05","1,497.24","1,487.48","9.98B","0.19%"
"07/12/2023","1,491.14","1,500.97","1,507.01","1,488.01","12.95B","-0.39%"
"07/11/2023","1,496.96","1,503.06","1,505.40","1,492.63","11.20B","0.00%"
"07/10/2023","1,496.89","1,493.21","1,498.36","1,482.21","11.94B","0.43%"
"07/07/2023","1,490.51","1,481.91","1,496.59","1,474.94","11.03B","0.00%"
"07/06/2023","1,490.46","1,503.38","1,505.88","1,486.49","14.09B","-1.22%"
"07/05/2023","1,508.87","1,512.93","1,516.23","1,506.36","11.14B","-0.42%"
